DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AT_DEMAND_[MW],AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AT_IMPORT(-)_EXPORT(+)_[MW],BE_DEMAND_[MW],BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],BE_IMPORT(-)_EXPORT(+)_[MW],CH_DEMAND_[MW],CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW],CH_IMPORT(-)_EXPORT(+)_[MW],DE_DEMAND_[MW],DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DE_IMPORT(-)_EXPORT(+)_[MW],FR_DEMAND_[MW],FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW],FR_IMPORT(-)_EXPORT(+)_[MW],NL_DEMAND_[MW],NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW],NL_IMPORT(-)_EXPORT(+)_[MW],SI_DEMAND_[MW],SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SI_IMPORT(-)_EXPORT(+)_[MW],DK_DEMAND_[MW],DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DK_IMPORT(-)_EXPORT(+)_[MW]
01/01/2020,01/01/2020,FCR,1,NEGPOS_00_24,149.000,68.000,149.000,-9.000,45.000,149.000,-43.000,65.000,149.000,18.000,573.000,149.000,3.000,516.000,149.000,110.000,113.000,172.000,-79.000,-,-,-,-,-,-
02/01/2020,02/01/2020,FCR,1,NEGPOS_00_24,122.000,68.000,122.000,-10.000,45.000,122.000,-43.000,65.000,122.000,16.000,573.000,122.000,-10.000,516.000,122.000,126.000,113.000,174.000,-79.000,-,-,-,-,-,-
03/01/2020,03/01/2020,FCR,1,NEGPOS_00_24,140.000,68.000,140.000,-9.000,45.000,140.000,-43.000,65.000,140.000,18.000,573.000,140.000,-13.000,516.000,140.000,126.000,113.000,178.000,-79.000,-,-,-,-,-,-
04/01/2020,04/01/2020,FCR,1,NEGPOS_00_24,164.560,68.000,164.560,-8.000,45.000,164.560,-43.000,65.000,164.560,19.000,573.000,164.560,-2.000,516.000,164.560,107.000,113.000,500.000,-73.000,-,-,-,-,-,-
05/01/2020,05/01/2020,FCR,1,NEGPOS_00_24,150.000,68.000,150.000,-8.000,45.000,150.000,-43.000,65.000,150.000,18.000,573.000,150.000,11.000,516.000,150.000,95.000,113.000,538.000,-73.000,-,-,-,-,-,-
06/01/2020,06/01/2020,FCR,1,NEGPOS_00_24,148.960,68.000,148.960,-8.000,45.000,148.960,-45.000,65.000,148.960,54.000,573.000,148.960,47.000,516.000,148.960,22.000,113.000,592.000,-70.000,-,-,-,-,-,-
07/01/2020,07/01/2020,FCR,1,NEGPOS_00_24,144.000,68.000,144.000,4.000,45.000,144.000,-45.000,65.000,144.000,23.000,573.000,144.000,43.000,516.000,144.000,54.000,113.000,168.000,-79.000,-,-,-,-,-,-
08/01/2020,08/01/2020,FCR,1,NEGPOS_00_24,171.660,68.000,171.660,4.000,45.000,171.660,-45.000,65.000,171.660,55.000,573.000,171.660,-3.000,516.000,171.660,68.000,113.000,180.000,-79.000,-,-,-,-,-,-
09/01/2020,09/01/2020,FCR,1,NEGPOS_00_24,140.000,68.000,140.000,-5.000,45.000,140.000,-43.000,65.000,140.000,47.000,573.000,140.000,-3.000,516.000,140.000,84.000,113.000,350.000,-79.000,-,-,-,-,-,-
10/01/2020,10/01/2020,FCR,1,NEGPOS_00_24,125.000,68.000,125.000,0.000,45.000,125.000,-43.000,65.000,125.000,58.000,573.000,125.000,-9.000,516.000,125.000,85.000,113.000,378.000,-79.000,-,-,-,-,-,-
11/01/2020,11/01/2020,FCR,1,NEGPOS_00_24,179.150,68.000,179.150,-8.000,45.000,179.150,-43.000,65.000,179.150,81.000,573.000,179.150,48.000,516.000,179.150,1.000,113.000,324.000,-79.000,-,-,-,-,-,-
12/01/2020,12/01/2020,FCR,1,NEGPOS_00_24,283.780,68.000,283.780,-7.000,45.000,283.780,-43.000,65.000,283.780,64.000,573.000,283.780,30.000,516.000,283.780,35.000,113.000,320.000,-79.000,-,-,-,-,-,-
13/01/2020,13/01/2020,FCR,1,NEGPOS_00_24,126.540,68.000,126.540,7.000,47.000,126.540,-45.000,65.000,126.540,49.000,573.000,126.540,8.000,516.000,126.540,60.000,113.000,450.000,-79.000,-,-,-,-,-,-
