DATE_FROM,DATE_TO,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TENDER_TYPE,ROUND,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],GERMANY_BLOCK_DEMAND_[MW],GERMANY_BLOCK_EXPORT_LIMIT_[MW],GERMANY_BLOCK_CORE_PORTION_[MW],TRANSNETBW_AREA_CORE_PORTION_[MW],AMPRION_AREA_CORE_PORTION_[MW],50HERTZ_AREA_CORE_PORTION_[MW],TENNET_AREA_CORE_PORTION_[MW],BELGIUM_BLOCK_DEMAND_[MW],BELGIUM_BLOCK_EXPORT_LIMIT_[MW],BELGIUM_BLOCK_CORE_PORTION_[MW],ELIA_AREA_CORE_PORTION_[MW],FRANCE_BLOCK_DEMAND_[MW],FRANCE_BLOCK_EXPORT_LIMIT_[MW],FRANCE_BLOCK_CORE_PORTION_[MW],RTE_AREA_CORE_PORTION_[MW],NETHERLANDS_BLOCK_DEMAND_[MW],NETHERLANDS_BLOCK_EXPORT_LIMIT_[MW],NETHERLANDS_BLOCK_CORE_PORTION_[MW],TTB_AREA_CORE_PORTION_[MW],AUSTRIA_BLOCK_DEMAND_[MW],AUSTRIA_BLOCK_EXPORT_LIMIT_[MW],AUSTRIA_BLOCK_CORE_PORTION_[MW],APG_AREA_CORE_PORTION_[MW],SWITZERLAND_BLOCK_DEMAND_[MW],SWITZERLAND_BLOCK_EXPORT_LIMIT_[MW],SWITZERLAND_BLOCK_CORE_PORTION_[MW],SWISSGRID_AREA_CORE_PORTION_[MW],SLOVENIA_BLOCK_DEMAND_[MW],SLOVENIA_BLOCK_EXPORT_LIMIT_[MW],SLOVENIA_BLOCK_CORE_PORTION_[MW],ELES_AREA_CORE_PORTION_[MW],DENMARK_BLOCK_DEMAND_[MW],DENMARK_BLOCK_EXPORT_LIMIT_[MW],DENMARK_BLOCK_CORE_PORTION_[MW],ENERGINET_AREA_CORE_PORTION_[MW]
01/01/2021,01/01/2021,18/12/2020 11:00,31/12/2020 08:00,31/12/2020 08:30,DAILY,1,FCR,NEGPOS_00_04,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
01/01/2021,01/01/2021,18/12/2020 11:00,31/12/2020 08:00,31/12/2020 08:30,DAILY,1,FCR,NEGPOS_04_08,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
01/01/2021,01/01/2021,18/12/2020 11:00,31/12/2020 08:00,31/12/2020 08:30,DAILY,1,FCR,NEGPOS_08_12,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
01/01/2021,01/01/2021,18/12/2020 11:00,31/12/2020 08:00,31/12/2020 08:30,DAILY,1,FCR,NEGPOS_12_16,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
01/01/2021,01/01/2021,18/12/2020 11:00,31/12/2020 08:00,31/12/2020 08:30,DAILY,1,FCR,NEGPOS_16_20,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
01/01/2021,01/01/2021,18/12/2020 11:00,31/12/2020 08:00,31/12/2020 08:30,DAILY,1,FCR,NEGPOS_20_24,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
02/01/2021,02/01/2021,19/12/2020 11:00,01/01/2021 08:00,01/01/2021 08:30,DAILY,1,FCR,NEGPOS_00_04,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
02/01/2021,02/01/2021,19/12/2020 11:00,01/01/2021 08:00,01/01/2021 08:30,DAILY,1,FCR,NEGPOS_04_08,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
02/01/2021,02/01/2021,19/12/2020 11:00,01/01/2021 08:00,01/01/2021 08:30,DAILY,1,FCR,NEGPOS_08_12,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
02/01/2021,02/01/2021,19/12/2020 11:00,01/01/2021 08:00,01/01/2021 08:30,DAILY,1,FCR,NEGPOS_12_16,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
02/01/2021,02/01/2021,19/12/2020 11:00,01/01/2021 08:00,01/01/2021 08:30,DAILY,1,FCR,NEGPOS_16_20,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
02/01/2021,02/01/2021,19/12/2020 11:00,01/01/2021 08:00,01/01/2021 08:30,DAILY,1,FCR,NEGPOS_20_24,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
03/01/2021,03/01/2021,20/12/2020 11:00,02/01/2021 08:00,02/01/2021 08:30,DAILY,1,FCR,NEGPOS_00_04,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
03/01/2021,03/01/2021,20/12/2020 11:00,02/01/2021 08:00,02/01/2021 08:30,DAILY,1,FCR,NEGPOS_04_08,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
03/01/2021,03/01/2021,20/12/2020 11:00,02/01/2021 08:00,02/01/2021 08:30,DAILY,1,FCR,NEGPOS_08_12,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
03/01/2021,03/01/2021,20/12/2020 11:00,02/01/2021 08:00,02/01/2021 08:30,DAILY,1,FCR,NEGPOS_12_16,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
03/01/2021,03/01/2021,20/12/2020 11:00,02/01/2021 08:00,02/01/2021 08:30,DAILY,1,FCR,NEGPOS_16_20,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
03/01/2021,03/01/2021,20/12/2020 11:00,02/01/2021 08:00,02/01/2021 08:30,DAILY,1,FCR,NEGPOS_20_24,1409,562,168,169,,,,,87,100,27,,508,152,153,,114,100,35,,71,100,22,,67,100,21,,,,,,,,,
