time,P,G(i),H_sun,T2m,WS10m,Int
20190106:0911,4293000,28.73,7.1,3.69,0.83,0
20190106:1011,8241000,45.79,10.72,4.41,1.1,0
20190106:1111,8862000,48.49,12.38,5.17,1.31,0
20190106:1211,9057000,49.38,11.93,5.69,1.45,0
20190106:1311,8823000,48.34,9.42,6.12,1.93,0
20190106:1411,81000,6.29,5.05,6.42,2.41,0
20190106:1511,0,0,0,6.43,2.9,0
20190106:1611,0,0,0,6.44,3.17,0
20190106:1711,0,0,0,6.44,3.59,0
20190106:1811,0,0,0,6.39,3.66,0
20190106:1911,0,0,0,6.38,3.86,0
20190106:2011,0,0,0,6.02,3.59,0
20190106:2111,0,0,0,5.77,3.31,0
20190106:2211,0,0,0,5.9,3.17,0
20190106:2311,0,0,0,6.09,3.24,0
20190107:0011,0,0,0,6.32,3.31,0
20190107:0111,0,0,0,6.54,3.24,0
20190107:0211,0,0,0,6.55,3.17,0
20190107:0311,0,0,0,6.43,3.03,0
20190107:0411,0,0,0,6.21,2.97,0
20190107:0511,0,0,0,5.97,2.97,0
20190107:0611,0,0,0,5.52,2.9,0
20190107:0711,0,0,0,5.46,2.76,0
20190107:0811,0,0,0,5.04,2.62,0
20190107:0911,2187000,18.86,7.19,5.14,2.62,0
20190107:1011,10956000,56.87,10.83,5.42,2.62,0
20190107:1111,15654000,75.45,12.5,5.88,2.62,0
20190107:1211,14757000,72.03,12.07,6.25,2.83,0
20190107:1311,6477000,38.61,9.56,6.33,3.72,0
20190107:1411,1998000,17.96,5.2,6.38,4.21,0
20190107:1511,0,0,0,6.5,4.76,0
20190107:1611,0,0,0,6.68,5.31,0
20190107:1711,0,0,0,6.73,5.86,0
20190107:1811,0,0,0,6.89,6.41,0
20190107:1911,0,0,0,7.38,6.76,0
20190107:2011,0,0,0,7.67,6.34,0
20190107:2111,0,0,0,7.55,6.28,0
20190107:2211,0,0,0,6.74,6.21,0
20190107:2311,0,0,0,6.31,6.62,0
20190108:0011,0,0,0,6.42,7.03,0
20190108:0111,0,0,0,6.27,7.52,0
20190108:0211,0,0,0,6.18,7.93,0
20190108:0311,0,0,0,6.38,8,0
20190108:0411,0,0,0,6.41,8.21,0
20190108:0511,0,0,0,6.48,7.93,0
20190108:0611,0,0,0,6.37,6.97,0
20190108:0711,0,0,0,6.19,7.17,0
20190108:0811,0,0,0,5.83,6.69,0
20190108:0911,106275000,404.46,7.28,5.4,6.21,0
20190108:1011,137073000,518.96,10.93,5.21,5.38,0
20190108:1111,154575000,588.35,12.63,5.27,4.48,0
20190108:1211,49722000,199.28,12.21,5.05,4.62,0
20190108:1311,5907000,35.91,9.71,4.68,5.59,0
20190108:1411,5193000,32.63,5.36,4.45,6.07,0
20190108:1511,0,0,0,4.25,6.21,0
20190108:1611,0,0,0,3.96,6.41,0
20190108:1711,0,0,0,3.78,6.55,0
20190108:1811,0,0,0,3.9,6.69,0
20190108:1911,0,0,0,3.71,6.83,0
20190108:2011,0,0,0,3.69,6.69,0
20190108:2111,0,0,0,3.7,6.62,0
20190108:2211,0,0,0,3.45,6.41,0
20190108:2311,0,0,0,3.27,6.14,0
20190109:0011,0,0,0,3.26,5.93,0
20190109:0111,0,0,0,3.17,5.93,0
20190109:0211,0,0,0,3.08,5.86,0
20190109:0311,0,0,0,2.93,5.79,0
20190109:0411,0,0,0,2.71,5.59,0
20190109:0511,0,0,0,2.46,5.45,0
20190109:0611,0,0,0,2.19,5.38,0
20190109:0711,0,0,0,2.01,5.59,0
20190109:0811,0,0,0,1.88,5.66,0
20190109:0911,110730000,415.55,7.38,2.11,5.66,0
20190109:1011,155034000,579.19,11.05,2.53,5.79,0
20190109:1111,183393000,693.05,12.76,3.02,4.76,0
20190109:1211,133836000,503.21,12.35,3.34,5.03,0
20190109:1311,100182000,378.86,9.87,3.39,5.17,0
20190109:1411,87486000,333.96,5.52,3.12,4.9,0
20190109:1511,0,0,0,2.47,4.48,0
20190109:1611,0,0,0,1.94,4.28,0
20190109:1711,0,0,0,1.35,4,0
20190109:1811,0,0,0,0.82,3.59,0
20190109:1911,0,0,0,0.63,3.38,0
20190109:2011,0,0,0,0.44,3.17,0
20190109:2111,0,0,0,0.37,2.97,0
20190109:2211,0,0,0,0.29,2.69,0
20190109:2311,0,0,0,0.11,2.48,0
20190110:0011,0,0,0,-0.12,2.34,0
20190110:0111,0,0,0,-0.28,2.14,0
20190110:0211,0,0,0,-0.43,2,0
20190110:0311,0,0,0,-0.46,1.86,0
20190110:0411,0,0,0,-0.6,1.79,0
20190110:0511,0,0,0,-0.8,1.66,0
20190110:0611,0,0,0,-0.86,1.52,0
20190110:0711,0,0,0,-0.88,1.52,0
20190110:0811,0,0,0,-1.53,1.38,0
20190110:0911,25128000,107.91,7.49,-0.89,1.1,0
20190110:1011,13539000,65.96,11.18,0.9,0.97,0
20190110:1111,8781000,47.59,12.9,2.02,1.17,0
20190110:1211,10083000,52.97,12.51,2.66,1.31,0
20190110:1311,21591000,96.55,10.04,2.86,1.59,0
20190110:1411,3144000,23.34,5.69,2.79,1.86,0
20190110:1511,0,0,0,2.65,2.07,0
20190110:1611,0,0,0,2.56,2.21,0
20190110:1711,0,0,0,2.69,2.34,0
20190110:1811,0,0,0,2.91,2.55,0
20190110:1911,0,0,0,3.02,3.03,0
20190110:2011,0,0,0,3.38,3.1,0
20190110:2111,0,0,0,3.85,3.17,0
20190110:2211,0,0,0,4.39,3.1,0
20190110:2311,0,0,0,4.89,2.62,0
20190111:0011,0,0,0,5.45,2.55,0
20190111:0111,0,0,0,5.98,3.03,0
20190111:0211,0,0,0,6.18,3.52,0
20190111:0311,0,0,0,6.11,3.93,0
20190111:0411,0,0,0,6.13,4.21,0
20190111:0511,0,0,0,6.28,4.28,0
20190111:0611,0,0,0,6.59,4.34,0
20190111:0711,0,0,0,6.92,5.03,0
20190111:0811,0,0,0,7.02,5.1,0
20190111:0911,11307000,58.31,7.6,7.03,5.24,0
20190111:1011,61650000,243.88,11.31,7.1,5.45,0
20190111:1111,53589000,214.87,13.05,7.11,5.52,0
20190111:1211,159342000,608.96,12.67,7.15,5.59,0
20190111:1311,88380000,340.86,10.21,6.97,5.72,0
20190111:1411,85104000,329.57,5.87,6.51,5.72,0
20190111:1511,0,0,0,5.88,5.66,0
20190111:1611,0,0,0,5.18,5.45,0
20190111:1711,0,0,0,4.75,5.17,0
20190111:1811,0,0,0,4.48,4.9,0
20190111:1911,0,0,0,4.32,4.41,0
20190111:2011,0,0,0,4.05,4.14,0
20190111:2111,0,0,0,3.87,3.93,0
20190111:2211,0,0,0,3.84,3.93,0
20190111:2311,0,0,0,3.62,3.86,0
20190112:0011,0,0,0,3.65,4,0
20190112:0111,0,0,0,3.72,4,0
20190112:0211,0,0,0,3.89,4,0
20190112:0311,0,0,0,4.03,4,0
20190112:0411,0,0,0,4.39,4.14,0
20190112:0511,0,0,0,4.99,4.34,0
20190112:0611,0,0,0,5.53,4.41,0
20190112:0711,0,0,0,5.71,4.83,0
20190112:0811,0,0,0,5.83,4.69,0
20190112:0911,312000,8.08,7.72,6.02,4.69,0
20190112:1011,5244000,33.22,11.45,6.22,4.83,0
20190112:1111,97632000,374.19,13.2,6.17,5.1,0
20190112:1211,6684000,39.51,12.84,6.46,4.83,0
20190112:1311,49131000,197.99,10.38,6.66,5.79,0
20190112:1411,86226000,333.87,6.05,6.34,5.1,0
20190112:1511,0,0,0,5.92,5.03,0
20190112:1611,0,0,0,5.68,5.24,0
20190112:1711,0,0,0,5.79,5.86,0
20190112:1811,0,0,0,5.8,5.79,0
20190112:1911,0,0,0,5.86,5.24,0
20190112:2011,0,0,0,5.53,4.9,0
20190112:2111,0,0,0,5.45,4.62,0
20190112:2211,0,0,0,5.31,4.41,0
20190112:2311,0,0,0,5.24,4.21,0
20190113:0011,0,0,0,5.27,4.34,0
20190113:0111,0,0,0,5.49,4.48,0
20190113:0211,0,0,0,5.74,4.28,0
20190113:0311,0,0,0,5.88,4.34,0
20190113:0411,0,0,0,6.07,4.41,0
20190113:0511,0,0,0,6.27,4.69,0
20190113:0611,0,0,0,6.41,4.21,0
20190113:0711,0,0,0,6.61,5.45,0
20190113:0811,78000,6.29,2.43,7.01,5.79,0
20190113:0911,27822000,120.98,7.85,7.44,6.14,0
20190113:1011,19806000,91.54,11.59,7.72,6.21,0
20190113:1111,13587000,67.93,13.37,8.06,6.28,0
20190113:1211,13155000,66.2,13.01,8.1,7.1,0
20190113:1311,852000,11.67,10.57,8,7.59,0
20190113:1411,7581000,43.16,6.24,7.37,8.07,0
20190113:1511,0,0,0,6.63,7.72,0
20190113:1611,0,0,0,6.2,7.45,0
20190113:1711,0,0,0,5.9,7.1,0
20190113:1811,0,0,0,5.88,7.72,0
20190113:1911,0,0,0,5.8,7.93,0
20190113:2011,0,0,0,5.14,8.34,0
20190113:2111,0,0,0,4.92,8.28,0
20190113:2211,0,0,0,4.53,7.66,0
20190113:2311,0,0,0,4.29,7.38,0
20190114:0011,0,0,0,3.91,7.66,0
20190114:0111,0,0,0,3.5,8,0
20190114:0211,0,0,0,2.88,8.21,0
20190114:0311,0,0,0,2.25,7.79,0
20190114:0411,0,0,0,1.91,7.31,0
20190114:0511,0,0,0,1.68,7.1,0
20190114:0611,0,0,0,1.41,6.97,0
20190114:0711,0,0,0,0.89,6.62,0
20190114:0811,36423000,150.61,2.55,0.7,6.48,0
20190114:0911,30585000,127.76,7.99,0.99,6.48,0
20190114:1011,86178000,324.51,11.75,1.66,6.97,0
20190114:1111,172521000,644.55,13.53,2.25,5.93,0
20190114:1211,158262000,589.19,13.19,2.58,6.83,0
20190114:1311,90708000,342.3,10.75,2.66,6.62,0
20190114:1411,89637000,339.79,6.43,2.65,6.48,0
20190114:1511,0,0,0,2.31,6.34,0
20190114:1611,0,0,0,2.03,6.34,0
20190114:1711,0,0,0,1.95,6.14,0
20190114:1811,0,0,0,2.07,6.21,0
20190114:1911,0,0,0,2.38,5.72,0
20190114:2011,0,0,0,2.64,6,0
20190114:2111,0,0,0,3,6,0
20190114:2211,0,0,0,3.03,5.52,0
20190114:2311,0,0,0,2.95,5.03,0
20190115:0011,0,0,0,3.03,5.1,0
20190115:0111,0,0,0,3.46,5.79,0
20190115:0211,0,0,0,3.97,6.76,0
20190115:0311,0,0,0,4.27,6.97,0
20190115:0411,0,0,0,4.25,6,0
20190115:0511,0,0,0,4.54,5.17,0
20190115:0611,0,0,0,4.88,4.83,0
20190115:0711,0,0,0,4.93,4.21,0
20190115:0811,2436000,20.11,2.68,5.09,4.14,0
20190115:0911,12012000,60.84,8.13,5.61,4.69,0
20190115:1011,10155000,53.87,11.91,6.22,5.66,0
20190115:1111,11922000,61.06,13.71,6.58,6.34,0
20190115:1211,10125000,53.87,13.38,6.9,6.62,0
20190115:1311,3447000,25.14,10.95,7.21,6.83,0
20190115:1411,1158000,13.47,6.63,7.64,6.76,0
20190115:1511,0,0,0,7.9,6.55,0
20190115:1611,0,0,0,7.36,6,0
20190115:1711,0,0,0,6.87,5.38,0
20190115:1811,0,0,0,6.58,4.69,0
20190115:1911,0,0,0,6.88,4.48,0
20190115:2011,0,0,0,7,4.21,0
20190115:2111,0,0,0,7.02,4.41,0
20190115:2211,0,0,0,7.08,5.17,0
20190115:2311,0,0,0,7.1,5.59,0
20190116:0011,0,0,0,7.01,5.59,0
20190116:0111,0,0,0,6.87,5.31,0
20190116:0211,0,0,0,6.72,5.17,0
20190116:0311,0,0,0,6.65,5.24,0
20190116:0411,0,0,0,6.56,5.31,0
20190116:0511,0,0,0,6.52,5.24,0
20190116:0611,0,0,0,6.52,5.24,0
20190116:0711,0,0,0,6.7,5.52,0
20190116:0811,27435000,120.91,2.81,6.85,5.79,0
20190116:0911,3834000,26.94,8.28,7,6.07,0
20190116:1011,1161000,13.47,12.07,7.15,6.14,0
20190116:1111,4413000,29.63,13.89,7.37,6.28,0
20190116:1211,1986000,17.96,13.58,7.42,6.28,0
20190116:1311,4023000,27.83,11.15,7.35,6.34,0
