time,P,G(i),H_sun,T2m,WS10m,Int
20190527:1911,0,4.97,2.78,11.7,4.97,0
20190527:2011,0,0,0,11.04,4.48,0
20190527:2111,0,0,0,10.51,4.34,0
20190527:2211,0,0,0,10.05,4,0
20190527:2311,0,0,0,9.89,3.17,0
20190528:0011,0,0,0,9.69,2.55,0
20190528:0111,0,0,0,9.37,2.48,0
20190528:0211,0,0,0,9.04,2.62,0
20190528:0311,0,0,0,8.69,2.55,0
20190528:0411,7641000,43.93,8.15,8.46,2.62,0
20190528:0511,12588000,80.78,16.2,8.65,2.83,0
20190528:0611,29121000,128.86,24.69,8.92,2.97,0
20190528:0711,120201000,482.85,33.25,10.2,3.38,0
20190528:0811,109677000,437.81,41.45,11.15,3.72,0
20190528:0911,166710000,667.42,48.68,11.8,3.79,0
20190528:1011,123219000,493.85,54.03,12.31,4,0
20190528:1111,174669000,702.67,56.39,12.71,4.28,0
20190528:1211,134634000,539.1,55.09,12.82,4.55,0
20190528:1311,207636000,837.04,50.52,12.84,4.69,0
20190528:1411,150879000,601.65,43.74,12.83,4.76,0
20190528:1511,127881000,511.48,35.76,12.64,4.76,0
20190528:1611,81663000,344.07,27.25,12.11,4.55,0
20190528:1711,28611000,150.14,18.7,11.47,4.34,0
20190528:1811,6981000,41.45,10.48,10.7,4.07,0
20190528:1911,0,3.32,2.94,9.76,3.93,0
20190528:2011,0,0,0,8.85,3.45,0
20190528:2111,0,0,0,8.36,3.17,0
20190528:2211,0,0,0,8.07,3.1,0
20190528:2311,0,0,0,7.87,3.03,0
20190529:0011,0,0,0,7.93,3.1,0
20190529:0111,0,0,0,7.74,2.9,0
20190529:0211,0,0,0,7.47,2.62,0
20190529:0311,0,0,0,7.42,2.48,0
20190529:0411,6132000,37.3,8.26,7.43,2.28,0
20190529:0511,10593000,75.07,16.31,8.07,2.48,0
20190529:0611,63480000,284.3,24.79,8.75,3.31,0
20190529:0711,86877000,349.36,33.36,9.55,3.45,0
20190529:0811,102387000,408.62,41.57,10.36,3.45,0
20190529:0911,143757000,574.71,48.81,11.25,3.31,0
20190529:1011,237294000,979.37,54.17,11.79,3.03,0
20190529:1111,181641000,738.36,56.55,12.19,2.97,0
20190529:1211,187578000,764.55,55.25,12.62,3.03,0
20190529:1311,156192000,630.89,50.67,12.8,3.17,0
20190529:1411,168249000,679.49,43.89,12.8,3.17,0
20190529:1511,145035000,586.48,35.9,12.67,2.97,0
20190529:1611,80922000,343.5,27.39,12.52,2.62,0
20190529:1711,29973000,152.87,18.84,12.19,2.21,0
20190529:1811,8670000,48.91,10.63,11.73,1.72,0
20190529:1911,0,4.97,3.09,10.95,1.31,0
20190529:2011,0,0,0,9.62,2.07,0
20190529:2111,0,0,0,8.84,2.41,0
20190529:2211,0,0,0,8.81,2.83,0
20190529:2311,0,0,0,8.85,3.38,0
20190530:0011,0,0,0,9.3,3.93,0
20190530:0111,0,0,0,9.63,4.28,0
20190530:0211,0,0,0,10.1,4.62,0
20190530:0311,0,0,0,10.68,4.83,0
20190530:0411,111000,6.63,8.37,10.81,4.9,0
20190530:0511,4734000,31.43,16.41,10.38,5.03,0
20190530:0611,6984000,41.3,24.89,9.85,5.03,0
20190530:0711,34269000,149.13,33.46,10.98,4.97,0
20190530:0811,38163000,164.31,41.67,11.58,5.17,0
20190530:0911,25428000,115.83,48.93,12.15,5.31,0
20190530:1011,26964000,122.11,54.31,12.87,5.52,0
20190530:1111,34590000,151.74,56.7,13.29,5.45,0
20190530:1211,28473000,128.4,55.41,13.66,5.17,0
20190530:1311,11706000,61.95,50.82,13.85,5.1,0
20190530:1411,16341000,80.81,44.04,13.85,5.03,0
20190530:1511,12339000,64.65,36.04,14.12,4.76,0
20190530:1611,14547000,73.63,27.53,14.05,5.17,0
20190530:1711,6630000,40.4,18.98,13.94,4.83,0
20190530:1811,6492000,39.79,10.77,13.84,4.48,0
20190530:1911,0,1.66,3.24,13.62,4.21,0
20190530:2011,0,0,0,13.21,3.72,0
20190530:2111,0,0,0,13.02,3.31,0
20190530:2211,0,0,0,12.94,3.1,0
20190530:2311,0,0,0,13.15,3.45,0
20190531:0011,0,0,0,13.38,4.07,0
20190531:0111,0,0,0,13.47,4.34,0
20190531:0211,0,0,0,13.55,4.07,0
20190531:0311,0,0,0,13.35,3.52,0
20190531:0411,432000,9.12,8.48,13.1,2.83,0
20190531:0511,21900000,106.78,16.51,13.06,2.28,0
20190531:0611,8091000,46.69,24.99,13.21,2,0
20190531:0711,32439000,144.56,33.56,13.74,1.66,0
20190531:0811,35154000,155.33,41.78,14.06,1.72,0
20190531:0911,57816000,243.51,49.04,14.39,2.41,0
20190531:1011,60195000,253.13,54.44,14.93,2.83,0
20190531:1111,31077000,140.07,56.84,15.8,3.17,0
20190531:1211,32127000,144.56,55.55,16.51,3.45,0
20190531:1311,47436000,204.71,50.97,16.75,3.45,0
20190531:1411,57675000,244.72,44.17,16.81,3.45,0
20190531:1511,42750000,186.41,36.17,16.67,3.03,0
20190531:1611,28413000,130.13,27.66,16.59,2.97,0
20190531:1711,18630000,91.05,19.12,15.99,2.9,0
20190531:1811,9477000,53.05,10.91,15.41,2.62,0
20190531:1911,0,2.49,3.38,14.31,2.21,0
20190531:2011,0,0,0,13.69,2.34,0
20190531:2111,0,0,0,13.1,2.62,0
20190531:2211,0,0,0,12.63,2.9,0
20190531:2311,0,0,0,12.23,2.97,0
20190601:0011,0,0,0,12.07,3.17,0
20190601:0111,0,0,0,12.24,3.38,0
20190601:0211,0,0,0,12.49,3.59,0
20190601:0311,0,0,0,12.99,3.72,0
20190601:0411,207000,7.46,8.57,13.52,3.93,0
20190601:0511,5223000,34.12,16.6,14.09,4.14,0
20190601:0611,42162000,184.73,25.08,14.54,3.66,0
20190601:0711,107058000,436.02,33.65,15.3,6.07,0
20190601:0811,72501000,299.45,41.87,16.06,6.55,0
20190601:0911,59913000,251.96,49.15,16.7,6.41,0
20190601:1011,59301000,250.02,54.56,16.65,5.52,0
20190601:1111,75129000,312.07,56.98,16.87,5.31,0
20190601:1211,134991000,549.69,55.7,17.1,5.24,0
20190601:1311,189432000,774.5,51.11,17.02,5.03,0
20190601:1411,137385000,558.42,44.31,16.95,4.83,0
20190601:1511,95301000,390.77,36.31,16.41,4.55,0
20190601:1611,72612000,309.77,27.79,15.79,4.07,0
20190601:1711,29166000,153.08,19.25,15.21,3.52,0
20190601:1811,9333000,52.22,11.04,14.46,2.9,0
20190601:1911,0,1.66,3.51,13.47,2.21,0
20190601:2011,0,0,0,12.41,1.86,0
20190601:2111,0,0,0,11.5,1.79,0
20190601:2211,0,0,0,10.72,1.72,0
20190601:2311,0,0,0,10.15,1.52,0
20190602:0011,0,0,0,9.54,1.17,0
20190602:0111,0,0,0,10.68,0.62,0
20190602:0211,0,0,0,10.2,0.76,0
20190602:0311,0,0,0,8.27,1.59,0
20190602:0411,6072000,37.3,8.66,9.16,1.72,0
20190602:0511,21213000,100.66,16.69,11.04,1.72,0
20190602:0611,58887000,267.18,25.16,13.26,2.07,0
20190602:0711,77769000,323.01,33.73,14.97,2.62,0
20190602:0811,132972000,546.37,41.96,17.05,3.03,0
20190602:0911,175122000,729.09,49.25,18.74,3.31,0
20190602:1011,224430000,955.11,54.67,20.35,3.66,0
20190602:1111,241182000,1040.39,57.11,21.75,3.79,0
20190602:1211,218973000,942.1,55.83,23.15,3.93,0
20190602:1311,190917000,815.4,51.24,24.15,4.07,0
20190602:1411,153903000,652.34,44.44,24.87,4.28,0
20190602:1511,125907000,538.73,36.43,25.35,3.45,0
20190602:1611,72273000,325.11,27.92,25.59,3.24,0
20190602:1711,28353000,152.75,19.37,24.62,2.14,0
20190602:1811,11349000,63,11.17,23.55,2,0
20190602:1911,0,2.49,3.64,20.76,2.55,0
20190602:2011,0,0,0,19.48,2.69,0
20190602:2111,0,0,0,18.84,2.76,0
20190602:2211,0,0,0,18.35,2.76,0
20190602:2311,0,0,0,18.3,2.9,0
20190603:0011,0,0,0,18.79,3.03,0
20190603:0111,0,0,0,19.32,3.31,0
20190603:0211,0,0,0,19.03,3.45,0
20190603:0311,0,0,0,17.74,2.97,0
20190603:0411,2877000,23.21,8.75,16.75,2.34,0
20190603:0511,21930000,108.44,16.77,16.89,1.79,0
20190603:0611,44526000,198.64,25.24,17.85,2.34,0
20190603:0711,76920000,323.86,33.81,18.62,3.59,0
20190603:0811,166602000,689.39,42.04,19,3.59,0
20190603:0911,78609000,330.44,49.34,19.09,3.38,0
20190603:1011,62253000,265.62,54.78,19.4,3.86,0
20190603:1111,54042000,232.55,57.23,18.54,3.31,0
20190603:1211,158322000,658.39,55.96,17.42,2.55,0
20190603:1311,62202000,263.25,51.37,16.84,2.69,0
20190603:1411,50754000,217.9,44.56,16.97,3.38,0
20190603:1511,40881000,179.02,36.55,16.76,3.45,0
20190603:1611,25779000,119.42,28.04,16.1,2.97,0
20190603:1711,26499000,124.63,19.49,15.85,2.55,0
20190603:1811,3570000,26.52,11.29,15.4,2.14,0
20190603:1911,0,2.49,3.77,14.53,2.48,0
20190603:2011,0,0,0,13.67,2.21,0
20190603:2111,0,0,0,12.96,2,0
20190603:2211,0,0,0,12.27,1.72,0
20190603:2311,0,0,0,11.4,1.52,0
20190604:0011,0,0,0,10.45,1.45,0
20190604:0111,0,0,0,9.49,1.52,0
20190604:0211,0,0,0,8.9,1.52,0
20190604:0311,0,0,0,8.57,1.52,0
20190604:0411,7821000,44.76,8.83,8.61,1.45,0
20190604:0511,19830000,103.21,16.84,11.07,0.97,0
20190604:0611,58569000,264.49,25.31,13.17,1.24,0
20190604:0711,104037000,435.27,33.88,14.67,0.69,0
20190604:0811,122196000,509.3,42.12,16.12,0.9,0
20190604:0911,200298000,856.52,49.43,17.37,1.38,0
20190604:1011,224691000,981.43,54.89,18.49,1.45,0
20190604:1111,196203000,846.36,57.35,19.34,1.66,0
20190604:1211,206784000,889.68,56.09,20.3,2.41,0
20190604:1311,197871000,841.24,51.5,20.27,2.83,0
20190604:1411,179211000,746.52,44.69,19.47,3.52,0
20190604:1511,130764000,539.98,36.67,18.78,4.07,0
20190604:1611,80328000,348.68,28.16,18.1,3.93,0
20190604:1711,21465000,103.44,19.61,17.88,3.72,0
20190604:1811,10560000,58.02,11.41,17.23,3.31,0
20190604:1911,0,3.32,3.89,15.77,3.93,0
20190604:2011,0,0,0,15.02,3.79,0
20190604:2111,0,0,0,14.8,4,0
20190604:2211,0,0,0,14.92,4.34,0
20190604:2311,0,0,0,15.02,4.62,0
20190605:0011,0,0,0,15.11,4.62,0
20190605:0111,0,0,0,15.6,4.76,0
20190605:0211,0,0,0,16.26,4.34,0
20190605:0311,0,0,0,16.68,3.79,0
20190605:0411,6369000,39.79,8.9,17.32,3.31,0
20190605:0511,21465000,105.03,16.91,18.31,3.1,0
20190605:0611,39879000,179.31,25.37,19.29,2.83,0
20190605:0711,58368000,250.33,33.94,19.24,3.66,0
20190605:0811,120588000,501.11,42.19,19.69,3.31,0
20190605:0911,163572000,684.85,49.51,20.36,3.31,0
20190605:1011,165528000,700.02,54.98,20.95,2.83,0
20190605:1111,206391000,900.57,57.46,21.7,2,0
20190605:1211,226287000,1010.96,56.21,22.26,1.45,0
20190605:1311,209733000,931.79,51.62,22.51,1.17,0
20190605:1411,157065000,686.87,44.8,22.24,0.41,0
20190605:1511,56106000,246.87,36.79,22.68,1.17,0
20190605:1611,18765000,94.28,28.27,22.94,1.38,0
20190605:1711,10323000,58.36,19.73,22.84,1.59,0
20190605:1811,11046000,61.34,11.53,22.16,2.07,0
20190605:1911,0,4.14,4.01,21.2,2,0
20190605:2011,0,0,0,20.04,2.55,0
20190605:2111,0,0,0,19.32,2.83,0
20190605:2211,0,0,0,18.6,3.1,0
20190605:2311,0,0,0,18.04,3.45,0
20190606:0011,0,0,0,17.72,3.45,0
20190606:0111,0,0,0,17.73,3.45,0
20190606:0211,0,0,0,17.83,3.52,0
20190606:0311,0,0,0,17.98,3.59,0
20190606:0411,8196000,48.08,8.97,18.44,3.79,0
20190606:0511,17121000,86.28,16.97,19.54,3.93,0
20190606:0611,53298000,243.46,25.43,20.73,3.93,0
20190606:0711,108147000,459.4,34,20.65,2.48,0
20190606:0811,155415000,653.08,42.26,21.49,3.1,0
20190606:0911,90093000,381.82,49.58,22.26,3.45,0
20190606:1011,47343000,209.2,55.07,22.46,4.34,0
20190606:1111,124563000,518.2,57.57,21.31,5.1,0
20190606:1211,107175000,444.11,56.32,19.9,5.17,0
20190606:1311,134259000,549.47,51.73,18.43,5.17,0
20190606:1411,164973000,672.15,44.91,17.71,5.03,0
20190606:1511,16962000,84.4,36.89,17.06,4.76,0
20190606:1611,5952000,37.71,28.38,16.23,4.97,0
20190606:1711,4608000,31.43,19.83,15.34,4.97,0
20190606:1811,1647000,16.58,11.64,14.74,4.55,0
20190606:1911,0,2.49,4.12,13.82,4.28,0
20190606:2011,0,0,0,13.19,3.31,0
20190606:2111,0,0,0,12.71,3.03,0
20190606:2211,0,0,0,12.4,2.48,0
20190606:2311,0,0,0,12.17,2.34,0
20190607:0011,0,0,0,12.05,2,0
20190607:0111,0,0,0,11.76,1.79,0
20190607:0211,0,0,0,11.29,1.79,0
20190607:0311,0,0,0,10.84,1.79,0
20190607:0411,6018000,37.3,9.03,10.9,1.52,0
20190607:0511,14604000,88.13,17.02,12.35,1.1,0
20190607:0611,59400000,271.19,25.48,14.04,1.1,0
20190607:0711,117180000,491.31,34.06,14.76,0.83,0
20190607:0811,172569000,733.42,42.31,15.9,0.48,0
20190607:0911,203199000,898.7,49.65,17.04,0,0
20190607:1011,223626000,995.14,55.15,18.09,0.62,0
20190607:1111,228852000,1012.33,57.66,18.97,1.24,0
20190607:1211,233256000,1024.06,56.43,19.56,1.79,0
20190607:1311,223767000,965.89,51.84,19.94,2.34,0
20190607:1411,188307000,792.22,45.02,20.01,3.03,0
20190607:1511,134730000,559.47,37,19.47,3.72,0
20190607:1611,85908000,376.14,28.48,18.93,3.93,0
20190607:1711,27126000,157.32,19.94,18.17,3.72,0
20190607:1811,8625000,49.73,11.74,17.29,3.24,0
20190607:1911,423000,9.12,4.23,15.81,2.9,0
20190607:2011,0,0,0,14.81,3.03,0
20190607:2111,0,0,0,14.54,3.59,0
20190607:2211,0,0,0,14.78,4.14,0
20190607:2311,0,0,0,15.16,4.28,0
20190608:0011,0,0,0,15.37,3.79,0
20190608:0111,0,0,0,15.26,3.38,0
20190608:0211,0,0,0,15.45,3.24,0
20190608:0311,0,0,0,14.89,3.79,0
20190608:0411,7989000,46.42,9.08,14.36,4.34,0
20190608:0511,21498000,108.58,17.07,14.49,4.55,0
20190608:0611,59610000,276.48,25.53,15.01,4.69,0
20190608:0711,27972000,127.5,34.1,15.84,6.28,0
20190608:0811,48666000,207.88,42.37,16.18,6.62,0
20190608:0911,17277000,85.3,49.71,16.22,6.48,0
20190608:1011,31092000,140.07,55.23,16.59,6.69,0
20190608:1111,21015000,100.56,57.76,17.07,7.24,0
20190608:1211,25848000,118.52,56.53,14.68,7.45,0
20190608:1311,22869000,106.85,51.94,14.45,6.21,0
20190608:1411,25530000,117.62,45.12,15.33,7.03,0
20190608:1511,16416000,81.71,37.1,15.95,7.52,0
20190608:1611,55077000,233.91,28.58,15.37,6.62,0
20190608:1711,31155000,143.96,20.04,14.36,7.45,0
20190608:1811,6687000,40.62,11.84,13.87,7.93,0
20190608:1911,2115000,19.06,4.33,14.12,6.97,0
20190608:2011,0,0,0,13.82,6.55,0
20190608:2111,0,0,0,13.54,6.97,0
20190608:2211,0,0,0,13.5,7.03,0
20190608:2311,0,0,0,13.09,7.03,0
20190609:0011,0,0,0,12.63,6.83,0
20190609:0111,0,0,0,12.36,6.9,0
20190609:0211,0,0,0,12.33,6.48,0
20190609:0311,0,0,0,12.33,5.86,0
20190609:0411,8466000,48.08,9.13,12.33,5.31,0
20190609:0511,20763000,106.56,17.12,12.75,4.69,0
20190609:0611,54264000,235.64,25.57,13.45,5.52,0
20190609:0711,99093000,402.45,34.15,14,5.66,0
20190609:0811,147978000,593.19,42.41,14.36,5.17,0
20190609:0911,198675000,804.74,49.77,15.1,5.1,0
20190609:1011,170604000,693.24,55.3,15.71,4.76,0
20190609:1111,136158000,554.41,57.84,16.41,4.69,0
20190609:1211,116643000,476.21,56.62,16.65,4.69,0
20190609:1311,62169000,261.91,52.04,17.02,4.76,0
20190609:1411,161037000,657.54,45.22,16.99,4.28,0
20190609:1511,100737000,414.88,37.19,17.08,3.79,0
20190609:1611,69852000,298.9,28.67,16.93,3.24,0
20190609:1711,28866000,160.79,20.13,16.6,2.48,0
20190609:1811,10806000,58.85,11.94,16.04,1.72,0
20190609:1911,543000,9.95,4.43,15.42,1.17,0
20190609:2011,0,0,0,14.29,1.03,0
20190609:2111,0,0,0,13.69,0.83,0
20190609:2211,0,0,0,12.5,1.24,0
20190609:2311,0,0,0,11.65,1.66,0
20190610:0011,0,0,0,11.18,1.79,0
20190610:0111,0,0,0,11.04,1.93,0
20190610:0211,0,0,0,11.39,2.14,0
20190610:0311,0,0,0,11.91,2.28,0
20190610:0411,321000,8.29,9.17,12.37,2.41,0
20190610:0511,2775000,22.45,17.15,13.7,2.28,0
20190610:0611,23625000,110.44,25.61,15.03,2.62,0
20190610:0711,59784000,251.71,34.18,15.32,3.38,0
20190610:0811,22200000,105.05,42.45,15.93,3.72,0
20190610:0911,14118000,72.73,49.82,16.83,4.28,0
20190610:1011,30243000,137.37,55.36,17.24,4.69,0
20190610:1111,18072000,88.89,57.92,17.04,4.62,0
20190610:1211,30231000,137.37,56.71,17.53,5.59,0
20190610:1311,27927000,128.4,52.13,17.6,5.1,0
20190610:1411,47481000,205,45.31,17.77,5.59,0
20190610:1511,37464000,166.26,37.28,18.32,5.66,0
20190610:1611,62391000,267.86,28.76,18.32,5.24,0
20190610:1711,16002000,80.81,20.22,17.97,4.41,0
20190610:1811,10356000,57.19,12.03,17.52,4.14,0
20190610:1911,0,3.32,4.52,16.29,4.14,0
20190610:2011,0,0,0,15.61,4.14,0
20190610:2111,0,0,0,15.21,4.34,0
20190610:2211,0,0,0,14.97,4.48,0
20190610:2311,0,0,0,14.63,4.28,0
20190611:0011,0,0,0,14.5,4.21,0
20190611:0111,0,0,0,14.46,4.21,0
20190611:0211,0,0,0,14.35,4.21,0
20190611:0311,0,0,0,14.24,4,0
20190611:0411,2922000,23.21,9.21,14.17,3.72,0
20190611:0511,8883000,50.28,17.18,14.44,3.52,0
20190611:0611,23211000,108.64,25.64,14.95,3.52,0
20190611:0711,13815000,70.93,34.21,14.85,3.86,0
20190611:0811,25626000,118.52,42.49,15.77,3.86,0
20190611:0911,16977000,84.4,49.86,16.52,2.83,0
20190611:1011,17379000,86.2,55.42,16.9,2.48,0
20190611:1111,18462000,90.68,57.99,17.1,2.21,0
20190611:1211,17100000,85.3,56.79,17.54,2.28,0
20190611:1311,11604000,62.85,52.21,18.83,2.69,0
20190611:1411,24849000,117.62,45.39,19.91,2.83,0
20190611:1511,28794000,133.78,37.37,20.39,2.69,0
20190611:1611,69786000,305.75,28.85,20.93,2.76,0
20190611:1711,25461000,122.13,20.31,20.64,2.21,0
20190611:1811,12150000,65.48,12.12,19.86,2,0
20190611:1911,0,2.49,4.6,17.93,2.07,0
20190611:2011,0,0,0,16.74,1.72,0
20190611:2111,0,0,0,15.92,1.59,0
20190611:2211,0,0,0,14.97,1.72,0
20190611:2311,0,0,0,14.42,1.38,0
20190612:0011,0,0,0,14.04,1.17,0
20190612:0111,0,0,0,13.91,1.66,0
20190612:0211,0,0,0,14.12,2,0
20190612:0311,0,0,0,14.38,2.21,0
20190612:0411,204000,7.46,9.24,14.95,2.14,0
20190612:0511,15900000,79.96,17.21,15.78,3.1,0
20190612:0611,31212000,141.45,25.66,16.56,3.45,0
20190612:0711,34452000,153.58,34.24,16.1,2.83,0
20190612:0811,36030000,159.82,42.52,16.33,3.17,0
20190612:0911,45096000,195.74,49.9,16.61,2.76,0
20190612:1011,120267000,497.07,55.47,17.35,2.76,0
20190612:1111,65643000,280.01,58.05,18.66,2,0
20190612:1211,66525000,285.32,56.87,20,1.93,0
20190612:1311,50862000,223.03,52.29,21.29,2.62,0
20190612:1411,26877000,126.6,45.47,21.54,3.17,0
20190612:1511,31560000,145.46,37.45,21.4,2.97,0
20190612:1611,5220000,35.02,28.93,20.96,2.62,0
20190612:1711,7392000,44.89,20.39,20.48,2.55,0
20190612:1811,771000,11.6,12.2,19.72,2.34,0
20190612:1911,0,4.14,4.68,16.39,2.07,0
20190612:2011,0,0,0,16.37,2.41,0
20190612:2111,0,0,0,16.7,3.17,0
20190612:2211,0,0,0,16.48,4.28,0
20190612:2311,0,0,0,15.44,4.48,0
20190613:0011,0,0,0,14.4,4.07,0
20190613:0111,0,0,0,13.62,4.21,0
20190613:0211,0,0,0,13.08,4.07,0
20190613:0311,0,0,0,12.7,3.59,0
20190613:0411,318000,8.29,9.26,12.84,2.97,0
20190613:0511,11202000,76.67,17.23,13.76,2,0
20190613:0611,59076000,276.77,25.68,15.23,2.14,0
20190613:0711,120837000,500.74,34.25,16.82,3.86,0
20190613:0811,172515000,706.47,42.54,17.99,4.55,0
20190613:0911,174624000,717.05,49.93,18.78,5.24,0
20190613:1011,225042000,936.1,55.51,19.18,5.45,0
20190613:1111,156852000,647.52,58.11,19.7,5.24,0
20190613:1211,160197000,662.18,56.93,20.13,5.38,0
20190613:1311,180903000,749.64,52.37,20.23,5.24,0
20190613:1411,131592000,543.06,45.55,19.85,4.69,0
20190613:1511,78438000,329.84,37.53,19.46,3.79,0
20190613:1611,84354000,368.73,29.01,19.11,2.9,0
20190613:1711,31806000,166.21,20.46,18.54,1.45,0
20190613:1811,12624000,67.14,12.27,18.34,1.03,0
20190613:1911,0,3.32,4.76,17.78,1.03,0
20190613:2011,0,0,0,16.39,1.79,0
20190613:2111,0,0,0,15.27,1.66,0
20190613:2211,0,0,0,14.39,1.38,0
20190613:2311,0,0,0,13.52,1.52,0
20190614:0011,0,0,0,13.19,2.07,0
20190614:0111,0,0,0,13.52,2.41,0
20190614:0211,0,0,0,14.03,2.69,0
20190614:0311,0,0,0,14.04,2.76,0
20190614:0411,8001000,46.42,9.28,13.87,2.55,0
20190614:0511,11052000,75.56,17.24,14.69,2.28,0
20190614:0611,15009000,76.32,25.69,16.29,2.55,0
20190614:0711,116010000,484.74,34.27,17.62,3.03,0
20190614:0811,163284000,677.33,42.55,18.86,3.24,0
20190614:0911,202869000,856.48,49.95,20.23,3.31,0
20190614:1011,231897000,1002.56,55.54,21.4,3.03,0
20190614:1111,145455000,616.9,58.16,22.42,2.97,0
20190614:1211,48942000,216.39,57,22.84,3.45,0
20190614:1311,87087000,368.33,52.43,20.89,2.9,0
20190614:1411,10986000,60.16,45.62,18.31,1.38,0
20190614:1511,136257000,577.15,37.6,19.31,1.24,0
20190614:1611,83673000,372.6,29.08,20.02,1.1,0
20190614:1711,27897000,161.34,20.53,20.33,0.83,0
20190614:1811,10947000,60.51,12.34,20.25,0.83,0
20190614:1911,2664000,22.38,4.83,19.84,1.38,0
20190614:2011,0,0,0,18.41,1.66,0
20190614:2111,0,0,0,17.03,1.66,0
20190614:2211,0,0,0,16.26,1.86,0
20190614:2311,0,0,0,15.71,2.07,0
20190615:0011,0,0,0,15.58,2.28,0
20190615:0111,0,0,0,15.48,2.55,0
20190615:0211,0,0,0,15.31,2.76,0
20190615:0311,0,0,0,15.11,2.9,0
20190615:0411,543000,9.95,9.29,15.44,2.76,0
20190615:0511,2043000,18.86,17.25,16.5,2.34,0
20190615:0611,9948000,55.67,25.7,18.29,2.62,0
20190615:0711,11400000,61.95,34.27,18.6,2.21,0
20190615:0811,17862000,88.89,42.56,19,2.83,0
20190615:0911,47184000,206.51,49.97,19.79,3.38,0
20190615:1011,85377000,358.74,55.57,20.66,4.69,0
20190615:1111,19536000,96.07,58.2,20.39,5.17,0
20190615:1211,20919000,101.46,57.05,19.9,5.59,0
20190615:1311,23439000,111.34,52.5,19.19,5.1,0
20190615:1411,34191000,153.54,45.68,18.25,4.69,0
20190615:1511,12969000,68.24,37.66,17.73,3.93,0
20190615:1611,11442000,61.95,29.14,18.14,3.52,0
20190615:1711,14016000,72.73,20.6,18.02,2.9,0
20190615:1811,6033000,38.13,12.41,16.51,4,0
20190615:1911,0,4.14,4.89,16.34,3.17,0
20190615:2011,0,0,0,15.28,4.14,0
20190615:2111,0,0,0,14.43,4.48,0
20190615:2211,0,0,0,14.01,4.69,0
20190615:2311,0,0,0,13.5,4.14,0
20190616:0011,0,0,0,13.2,3.72,0
20190616:0111,0,0,0,12.79,3.24,0
20190616:0211,0,0,0,12.54,2.76,0
20190616:0311,0,0,0,12.08,2.34,0
20190616:0411,9234000,51.39,9.3,12.29,2.07,0
20190616:0511,22734000,108.08,17.26,13.34,1.93,0
20190616:0611,53478000,236.68,25.7,14.82,2.62,0
20190616:0711,75222000,314.66,34.27,16.35,2.9,0
20190616:0811,119544000,491.65,42.57,17.33,3.24,0
20190616:0911,172992000,715.14,49.98,18.01,3.66,0
20190616:1011,146496000,604.31,55.6,18.79,4.28,0
20190616:1111,117738000,487.61,58.24,19.25,4.21,0
20190616:1211,139584000,578.14,57.1,19.19,3.93,0
20190616:1311,218172000,915.19,52.55,19.56,4.21,0
20190616:1411,110616000,458.14,45.74,19.38,4,0
20190616:1511,33774000,152.64,37.72,19.06,3.66,0
20190616:1611,81141000,351.71,29.2,18.72,3.31,0
20190616:1711,26721000,125.8,20.66,18.26,2.9,0
20190616:1811,9564000,53.88,12.47,17.59,2.62,0
20190616:1911,0,4.97,4.95,16.86,2.14,0
20190616:2011,0,0,0,15.67,2,0
20190616:2111,0,0,0,14.64,1.86,0
20190616:2211,0,0,0,13.85,1.93,0
20190616:2311,0,0,0,13.42,2,0
20190617:0011,0,0,0,13.06,2.21,0
20190617:0111,0,0,0,12.9,2.21,0
20190617:0211,0,0,0,12.72,2.28,0
20190617:0311,0,0,0,12.62,2.34,0
20190617:0411,2937000,23.21,9.3,13.13,2.34,0
20190617:0511,22569000,111,17.25,14.6,2.28,0
20190617:0611,57558000,270.26,25.69,16.47,2.9,0
20190617:0711,103458000,429.35,34.27,17.83,4.62,0
20190617:0811,167511000,687.08,42.57,18.65,4.69,0
20190617:0911,190677000,790.33,49.98,19.23,4.48,0
20190617:1011,230289000,970.48,55.61,19.91,4.48,0
20190617:1111,218175000,920.97,58.27,20.38,4.41,0
20190617:1211,199272000,839.81,57.14,20.98,4.28,0
20190617:1311,192411000,812.14,52.6,21.21,3.79,0
20190617:1411,157929000,663.51,45.79,21.36,3.24,0
20190617:1511,138945000,586.63,37.78,21.48,2.69,0
20190617:1611,84522000,375.55,29.26,21.58,2.28,0
20190617:1711,29010000,164.97,20.72,21.42,1.86,0
20190617:1811,12264000,66.31,12.52,20.99,1.24,0
20190617:1911,2982000,24.04,5,20.14,1.45,0
20190617:2011,0,0,0,18.75,2.21,0
20190617:2111,0,0,0,17.96,2.55,0
20190617:2211,0,0,0,17.43,2.9,0
20190617:2311,0,0,0,17.1,3.17,0
20190618:0011,0,0,0,17,3.31,0
20190618:0111,0,0,0,16.91,3.38,0
20190618:0211,0,0,0,16.84,3.38,0
20190618:0311,0,0,0,16.77,3.24,0
20190618:0411,660000,10.78,9.29,16.99,2.97,0
20190618:0511,22773000,110.98,17.24,17.58,2.69,0
20190618:0611,52404000,236.92,25.68,18.49,2.14,0
20190618:0711,105390000,447.07,34.26,19.75,2.21,0
20190618:0811,150798000,636.7,42.56,21.06,2.34,0
20190618:0911,194949000,838.53,49.98,22.11,2.41,0
20190618:1011,131451000,559.87,55.62,22.96,2.48,0
20190618:1111,196314000,855.8,58.29,23.71,2.48,0
